"Table 1.12 Factors affecting occupational utilization, projected 2019–29",,,,
Occupation Title,Occupation Code,Industry Title,Industry Code,Factors affecting occupational utilization
Nurse anesthetists,29–1151,Total employment,TE1000,Occupational substitution – share increases as advances in the practice of anesthesiology are effectively increasing the portion of routine cases vs complicated cases which require anesthesiologists. 
Nurse practitioners,29–1171,Offices of physicians,621100,Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize Physician Assistants and Nurse Practitioners. 
Nurse practitioners,29–1171,Offices of all other health practitioners,621390,Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. 
Nurse practitioners,29–1171,General medical and surgical hospitals; private,622105,Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. 
Nurse practitioners,29–1171,General medical and surgical hospitals; state,622102,Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. 
Nurse practitioners,29–1171,General medical and surgical hospitals; local,622103,Occupational substitution – share increases as growing demand for healthcare services will not be able to be met by expected growth in physicians and surgeons. This will encourage the adoption of team-based healthcare provision models which increasingly utilize physician assistants and nurse practitioners. 
Anesthesiologists,29–1211,Total employment,TE1000,"Occupational substitution, demand change – share decreases as improvements to surgical, non-surgical, and post-operative care and techniques improve and become more procedural, allowing for providing institutions to utilize nurse anesthetists at greater rates. "
General internal medicine physicians,29–1216,Offices of physicians,621100,"Occupational substitution, sourcing change – share decreases as care teams (including nurses, physicians assistants, and other care professionals) are expected to become larger and more diverse. Internists are also expected to increasingly work for hospitals. "
Obstetricians and gynecologists,29–1218,Offices of physicians,621100,"Occupational substitution – share decreases as care teams (including nurses, physicians assistants, and other care professionals) are expected to become larger and more diverse. "
"Pediatricians, general",29–1221,Offices of physicians,621100,"Demand change, occupational substitution – share decreases as the portion of the national population under 18 continues to fall, and team-based care models grow. "
Psychiatrists,29–1223,Offices of physicians,621100,Demand change – share increases as society attempts to rebuild the national mental health care capacity which has diminished over the past few decades. 
Psychiatrists,29–1223,Offices of mental health practitioners (except physicians),621330,Demand change – share increases as social pressures mount for improved mental health care capacity. 
"Surgeons, except ophthalmologists",29–1248,Offices of physicians,621100,Sourcing change – share decreases as surgeons increasingly become employed by hospitals and larger financial entities which are more efficient at dealing with risk. 
Clinical laboratory technologists and technicians,29–2010,Offices of physicians,621100,Sourcing change – share decreases as physicians’ offices send more lab work to medical and diagnostic laboratories instead of doing it in-house. 
Diagnostic medical sonographers,29–2032,Offices of physicians,621100,Demand change – share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed. 
Diagnostic medical sonographers,29–2032,Medical and diagnostic laboratories,621500,Demand change – share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Diagnostic medical sonographers,29–2032,General medical and surgical hospitals; private,622105,Demand change – share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Diagnostic medical sonographers,29–2032,General medical and surgical hospitals; state,622102,Demand change – share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Diagnostic medical sonographers,29–2032,General medical and surgical hospitals; local,622103,Demand change – share increases as sonographers are used to save on costs for non-invasive imaging. Ultrasound imaging will increasingly be used to initially screen patients to determine the extent or type of treatment needed.
Pharmacy technicians,29–2052,Grocery and specialty food stores,4450A1,"Occupational substitution – share increases as technicians expand their role, taking on some of the work of pharmacists and pharmacy aides. Favorable changes in pharmacists-to-technician ratios in some states may also contribute to a larger share. "
Pharmacy technicians,29–2052,Pharmacies and drug stores,446110,"Occupational substitution – share increases as technicians expand their role, taking on some of the work of pharmacists and pharmacy aides. Favorable changes in pharmacists-to-technician ratios in some states may also contribute to a larger share. "
"Opticians, dispensing",29–2081,Offices of physicians,621100,Demand change – share decreases as growth in demand for eye care is expected to be outpaced by growth in demand for other types of healthcare. 
Orthotists and prosthetists,29–2091,Medical equipment and supplies manufacturing,339100,"Demand change – share increases as the main causes of limb loss, including diabetes and cardiovascular disease, increase as people age. The aging population will continue to need orthotists and prosthetists to create and fit medical devices such as braces and prosthetics. "
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",29–2098,Total employment,TE1000,Occupational substitution – share decreases as these workers are no longer credentialed separately from respiratory therapists.
Athletic trainers,29–9091,Elementary and secondary schools; local,611103,"Demand change – share increases as schools hire more athletic trainers in order to provide preventative solutions to injuries, including traumatic head injuries, as well as first responder care."
Athletic trainers,29–9091,"Colleges, universities, and professional schools; private",611305,"Demand change – share increases as schools hire more athletic trainers in order to provide preventative solutions to injuries, including traumatic head injuries, as well as first responder care."
Athletic trainers,29–9091,"Colleges, universities, and professional schools; state",611302,"Demand change – share increases as schools hire more athletic trainers in order to provide preventative solutions to injuries, including traumatic head injuries, as well as first responder care."
Genetic counselors,29–9092,Total employment,TE1000,Demand change – share increases as the number and quality of genetic tests is increasing while costs are decreasing.
Genetic counselors,29–9092,General medical and surgical hospitals; private,622105,Demand change – share increases as the number and quality of genetic tests is increasing while costs are decreasing. 
Home health and personal care aides,31–1120,Home healthcare services,621600,Demand change – share increases as cost pressures drive growth in these inexpensive direct care givers 
Home health and personal care aides,31–1120,Nursing care facilities (skilled nursing facilities),623100,Demand change – share increases as cost pressures drive growth in these inexpensive direct care givers. 
Home health and personal care aides,31–1120,Continuing care retirement communities and assisted living facilities for the elderly,623300,Demand change – share increases as cost pressures drive growth in these inexpensive direct care givers.
Home health and personal care aides,31–1120,Services for the elderly and persons with disabilities,624120,Demand change – share increases as cost pressures drive growth in these inexpensive direct care givers. 
Home health and personal care aides,31–1120,Private households,814000,Demand change – share increases as cost pressures drive growth in these inexpensive direct care givers. 
Occupational therapy assistants,31–2011,"Offices of physical, occupational and speech therapists, and audiologists",621340,Demand change – share increases as adjustments continue to be made in business and payment models which attempt to increase the supply of occupational therapy services to meet excess demand. 
Occupational therapy assistants,31–2011,Home healthcare services,621600,Demand change – share increases as home health care facilities increasingly attempt to leverage their occupational therapy workforce. 
Occupational therapy assistants,31–2011,Nursing care facilities (skilled nursing facilities),623100,Demand change – share increases as nursing care facilities increasingly attempt to leverage their occupational therapy workforce. 
Physical therapist assistants,31–2021,"Offices of physical, occupational and speech therapists, and audiologists",621340,Demand change – share increases as physical therapists increasingly attempt to leverage their own labor and continue to react to rule changes and business trends. 
Physical therapist assistants,31–2021,Home healthcare services,621600,Demand change – share increases as home health care facilities increasingly attempt to leverage their physical therapy workforce. 
Physical therapist assistants,31–2021,Nursing care facilities (skilled nursing facilities),623100,Demand change – share increases as nursing care facilities increasingly attempt to leverage their physical therapy workforce. 
Massage therapists,31–9011,Offices of chiropractors,621310,Demand change – share increases as offices of chiropractors continue to hire massage therapists to offer therapy services. 
Massage therapists,31–9011,Offices of all other health practitioners,621390,Demand change – share increases as massage gains acceptance as a form of pain relief and as a tool to help maintain overall wellness. 
Massage therapists,31–9011,Personal care services,812100,"Demand change – share increases as massage gains more acceptance as a form of pain relief, and is increasingly used to help maintain overall wellness. "
Medical assistants,31–9092,Offices of physicians,621100,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants. "
Medical assistants,31–9092,General medical and surgical hospitals; private,622105,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants. "
Medical assistants,31–9092,General medical and surgical hospitals; state,622102,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants. "
Medical assistants,31–9092,General medical and surgical hospitals; local,622103,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants. "
Medical assistants,31–9092,Nursing care facilities (skilled nursing facilities),623100,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants. "
Medical assistants,31–9092,Continuing care retirement communities and assisted living facilities for the elderly,623300,"Occupational substitution – share increases as healthcare providers increasingly adopt team-based provision models, and delegate administrative duties and other basic tasks from physicians to assistants. "
Medical transcriptionists,31–9094,Offices of physicians,621100,"Sourcing change – share decreases as transcription services are moved out of traditional healthcare settings to third-party providers, including offshoring. "
Medical transcriptionists,31–9094,Medical and diagnostic laboratories,621500,"Sourcing change – share decreases as transcription services are moved out of traditional healthcare settings to third-party providers, including offshoring. "
Medical transcriptionists,31–9094,General medical and surgical hospitals; private,622105,"Sourcing change – share decreases as transcription services are moved out of traditional healthcare settings to third-party providers, including offshoring. "
Medical transcriptionists,31–9094,General medical and surgical hospitals; state,622102,"Sourcing change – share decreases as transcription services are moved out of traditional healthcare settings to third-party providers, including offshoring. "
Medical transcriptionists,31–9094,General medical and surgical hospitals; local,622103,"Sourcing change – share decreases as transcription services are moved out of traditional healthcare settings to third-party providers, including offshoring. "
Pharmacy aides,31–9095,Pharmacies and drug stores,446110,"Occupational substitution – share decreases as pharmacy technicians, cashiers, and clerks take over duties traditionally done by aides to reduce costs. "
Phlebotomists,31–9097,Medical and diagnostic laboratories,621500,Demand change – share increases as more patients undergo lab tests as part of their overall medical treatment. 
Phlebotomists,31–9097,All other ambulatory healthcare services,621990,Demand change – share increases as blood donations and storage capacity increase. 
Phlebotomists,31–9097,General medical and surgical hospitals; private,622105,Demand change – share increases as more patients get more bloods tests from phlebotomists as part of their overall medical treatment. 
Phlebotomists,31–9097,General medical and surgical hospitals; local,622103,Demand change – share increases as more patients get more bloods tests from phlebotomists as part of their overall medical treatment. 
First-line supervisors of correctional officers,33–1011,Facilities support services,561200,Demand change – share decreases as states reduce their reliance on private prisons.
First-line supervisors of correctional officers,33–1011,"State government, excluding education and hospitals",999200,Demand change – share decreases as states seek to reduce prison populations.
First-line supervisors of correctional officers,33–1011,"Local government, excluding education and hospitals",999300,Demand change – share decreases as local governments enact policies to reduce jail populations.
"Miscellaneous first-line supervisors, protective service workers",33–1090,Total employment,TE1000,Demand change – share decreases as fewer security guards require proportionately fewer first-line supervisors.
Forest fire inspectors and prevention specialists,33–2022,Total employment,TE1000,Demand change – share increases as increasingly destructive wild land fires will increase the demand for fire prevention.
Bailiffs,33–3011,Total employment,TE1000,Demand change – share decreases as caseloads continue to decline and courts consolidate.
Bailiffs,33–3011,"State government, excluding education and hospitals",999200,Demand change – share decreases as caseloads continue to decline and courts consolidate.
Bailiffs,33–3011,"Local government, excluding education and hospitals",999300,Demand change – share decreases as caseloads continue to decline and courts consolidate.
Correctional officers and jailers,33–3012,Facilities support services,561200,Demand change – share decreases as states reduce their reliance on private prisons.
Correctional officers and jailers,33–3012,"State government, excluding education and hospitals",999200,Demand change – share decreases as states seek to reduce prison populations.
Correctional officers and jailers,33–3012,"Local government, excluding education and hospitals",999300,Demand change – share decreases as local governments enact policies to reduce prison populations.
Parking enforcement workers,33–3041,Total employment,TE1000,Productivity change – share decreases as cities continue to adopt automated license plate readers.
Security guards,33–9032,Total employment,TE1000,Productivity change – share decreases as improvements in remote sensing and autonomous robots allow security guards to patrol larger areas.
Chefs and head cooks,35–1011,Grocery and specialty food stores,4450A1,Demand change – share increases as the demand for food away from home continues to increase and grocery stores add more prepared food options. 
Chefs and head cooks,35–1011,Continuing care retirement communities and assisted living facilities for the elderly,623300,Demand change – share increases as more senior living facilities hire chefs and head cooks to improve food options at their facilities. 
Chefs and head cooks,35–1011,Special food services,722300,"Demand change – share increases as preference grows for healthier food in school cafeterias, hospitals, government, and food trucks, requiring more chefs and head cooks to oversee food preparation. "
First-line supervisors of food preparation and serving workers,35–1012,Elementary and secondary schools; local,611103,Sourcing change – share decreases as schools continue to outsource food preparation services. 
First-line supervisors of food preparation and serving workers,35–1012,Nursing care facilities (skilled nursing facilities),623100,Sourcing change – share decreases as schools continue to outsource food preparation services. 
First-line supervisors of food preparation and serving workers,35–1012,Continuing care retirement communities and assisted living facilities for the elderly,623300,Sourcing change – share decreases as schools continue to outsource food preparation services. 
First-line supervisors of food preparation and serving workers,35–1012,Special food services,722300,Productivity change – share decreases as the centralized preparation of meals allows each first-line supervisor to manage more food preparation workers. 
"Cooks, fast food",35–2011,Full-service restaurants,722511,Occupational substitution – share decreases as restaurants hire food preparation and serving workers instead of fast food cooks. 
"Cooks, institution and cafeteria",35–2012,Elementary and secondary schools; private,611105,"Sourcing change, demand change – share decreases as the use of food contractors continues to grow. The decrease is limited by increasing demand for healthy high quality food options."
"Cooks, institution and cafeteria",35–2012,Elementary and secondary schools; local,611103,"Sourcing change, demand change – share decreases as schools continue to outsource food services to food contracting companies. The decrease is limited by increasing demand for healthy high-quality food options."
"Cooks, institution and cafeteria",35–2012,"State government, excluding education and hospitals",999200,Sourcing change – share decreases as more food contractors are used. 
"Cooks, institution and cafeteria",35–2012,"Local government, excluding education and hospitals",999300,Sourcing change – share decreases as more food contractors are used. 
"Cooks, restaurant",35–2014,Total employment,TE1000,Demand change – share increases as consumers demand more high-quality healthy food options. 
"Cooks, restaurant",35–2014,Fitness and recreational sports centers,713940,Demand change – share decreases as fitness consumers choose to get their food from sources outside of the gym café. 
"Cooks, restaurant",35–2014,Drinking places (alcoholic beverages),722400,Demand change – share increases as consumers demand more high-quality healthy food options. 
"Cooks, short order",35–2015,Motion picture and video exhibition,512130,"Demand change – share increases as movie theaters increasingly expand concessions offerings and services to include meals, beverages, and full restaurant services. "
"Cooks, short order",35–2015,Full-service restaurants,722511,Demand change – share decreases as restaurants continue to prefer restaurant cooks over short order cooks due to a greater skill set. 
Food preparation workers,35–2021,Grocery and specialty food stores,4450A1,Demand change – share increases as grocery stores include more in-store prepared food. The change is moderated by work being performed by fast food and counter workers.
Food preparation workers,35–2021,Gasoline stations,447000,Demand change – share increases as prepared food offerings increase in popularity. This demand will be moderated by competition with fast food and counter workers.
Food preparation workers,35–2021,Elementary and secondary schools; local,611103,Sourcing change – share decreases as schools continue to outsource food preparation. 
Food preparation workers,35–2021,General medical and surgical hospitals; private,622105,Sourcing change – share decreases as more hospitals outsource food service. 
Food preparation workers,35–2021,Nursing care facilities (skilled nursing facilities),623100,Sourcing change – share decreases as food service is outsourced. 
Food preparation workers,35–2021,Continuing care retirement communities and assisted living facilities for the elderly,623300,Sourcing change – share decreases as food service is outsourced. 
Food preparation workers,35–2021,Special food services,722300,Sourcing change – share increases as schools and other institutions continue to outsource food preparation to special food services contractors. 
Food preparation workers,35–2021,Full-service restaurants,722511,Occupational substitution – share decreases as other workers take on the duties of food preparation workers. 
Food preparation workers,35–2021,"Local government, excluding education and hospitals",999300,Sourcing change – share decreases as jails and other local government agencies outsource food services. 
Bartenders,35–3011,Grocery and specialty food stores,4450A1,Demand change – share increases as grocery stores add bars requiring the hiring of bartenders. 
Bartenders,35–3011,Motion picture and video exhibition,512130,"Demand change – share increases as movie theaters increasingly offer more diverse concessions, including alcoholic beverages and traditional restaurant experiences. "
Bartenders,35–3011,Casino hotels,721120,Productivity change – share decreases as establishments adopt automatic measuring and mixing beverage systems. 
Fast food and counter workers,35–3023,Grocery and specialty food stores,4450A1,Demand change – share increases as more stores add prepared food offerings. 
Fast food and counter workers,35–3023,Gasoline stations,447000,Occupational substitution – share increases as expanding food options in gas stations will increase the need for workers who can make and serve food as well as perform other duties. 
Fast food and counter workers,35–3023,Special food services,722300,Demand change – share increases as multipurpose workers are needed to operate these services including food trucks. 
Fast food and counter workers,35–3023,Full-service restaurants,722511,"Demand change, occupational substitution – share increases as restaurants continue to hire more multipurpose workers instead of specialists to meet growing sales. "
Waiters and waitresses,35–3031,Motion picture and video exhibition,512130,Demand change – share increases as movie theaters increasingly add partial or full restaurant services to existing traditional concessions to encourage attendance. 
Waiters and waitresses,35–3031,Full-service restaurants,722511,"Productivity change – share decreases as adoption of technologies enables more self-service, including online ordering and payments, and will allow waiters and waitresses to serve more customers. "
"Food servers, nonrestaurant",35–3041,Motion picture and video exhibition,512130,Demand change – share increases as theaters are increasingly offering partial or full restaurant menus and services to moviegoers in addition to traditional concessions. 
Dining room and cafeteria attendants and bartender helpers,35–9011,Special food services,722300,Occupational substitution – share decreases as fast food and counter workers take on more tasks previously performed by dining room and cafeteria attendants and bartender helpers.
Dishwashers,35–9021,Motion picture and video exhibition,512130,Demand change – share increases as movie theaters are increasingly offering partial or full restaurant menus to moviegoers to encourage attendance. Dishwashers will be needed as offerings require more involved preparation and larger kitchens. 
Dishwashers,35–9021,Full-service restaurants,722511,Capital/labor substitution – share decreases as increasing delivery and carryout options reduces the number of dishes needed to be washed in-house. 
Maids and housekeeping cleaners,37–2012,Casino hotels,721120,Demand change – share decreases as environmentally-conscious guests (or those that simply put up do not disturb signs) take advantage of establishments' option to decline daily housekeeping services. 
Maids and housekeeping cleaners,37–2012,"Rooming and boarding houses, dormitories, and workers' camps",721300,Demand change – share increases as young residents outsourcing daily chores (such as cleaning) becomes more common in shared living spaces. 
Landscaping and groundskeeping workers,37–3011,"Local government, excluding education and hospitals",999300,Demand change – share increases as local governments desire more trees in urban areas. 
Tree trimmers and pruners,37–3013,"Local government, excluding education and hospitals",999300,Demand change – share increases as local governments desire more trees in urban areas. 
Motion picture projectionists,39–3021,Total employment,TE1000,Productivity change – share decreases as digital film projectors require less routine monitoring than traditional film projectors.
"Ushers, lobby attendants, and ticket takers",39–3031,"Promoters of performing arts, sports, and similar events",711300,Productivity change – share decreases as productivity improves through the adoption of more efficient ticketing and RFID-based gate pass systems. 
Embalmers,39–4011,Death care services,812200,Demand change – share decreases as more cremations take place and fewer embalming services are needed. 
"Hairdressers, hairstylists, and cosmetologists",39–5012,Personal care services,812100,"Occupational substitution – share decreases as some salon services are performed more often by specialists rather than hairdressers, hairstylists, and cosmetologists. "
Manicurists and pedicurists,39–5092,Personal care services,812100,"Demand change, occupational substitution – share increases as nail care services are increasingly provided by manicurists and pedicurists rather than hairdressers, hairstylists, and cosmetologists along with an increase in the customer base (more men) for manicures and pedicures."
Skincare specialists,39–5094,Personal care services,812100,"Demand change, occupational substitution – share increases as the provision of skincare services continues to shift to skincare specialists from hairdressers, hairstylists, and cosmetologists and as more skincare services are provided and accepted by a broader population base, including men and a growing aging population."
Cashiers,41–2011,Total employment,TE1000,"Demand change, capital/labor substitution – share decreases as online sales increase and self-checkout systems become more common."
Cashiers,41–2011,Grocery and specialty food stores,4450A1,"Demand change, capital/labor substitution – share decreases as online grocery orders for pickup or delivery increase and self-checkout systems become more common."
Cashiers,41–2011,General merchandise stores,452000,"Demand change, capital/labor substitution – share decreases as online orders for pickup or delivery increase and self-checkout systems become more common."
Cashiers,41–2011,Electronics and appliance stores,443000,"Occupational substitution, capital/labor substitution – share decreases as retail salespersons complete transactions and self-checkout systems become more common."
Cashiers,41–2011,Building material and supplies dealers,444100,Capital/labor substitution – share decreases as self-checkout becoming more widespread.
Cashiers,41–2011,Clothing stores,448100,Occupational substitution – share decreases as the duties of a dedicated cashier are often performed by retail salespersons.
Cashiers,41–2011,Shoe stores,448200,"Occupational substitution – share decreases as retail salespersons increasingly perform duties typical of a cashier, such as by processing transactions themselves."
Cashiers,41–2011,Book stores and news dealers,451200,Occupational substitution – share decreases as the duties of a dedicated cashier are often performed by retail salespersons.
Cashiers,41–2011,Casino hotels,721120,Occupational substitution – share decreases as casino hotels increasingly use mobile payment devices which allow customers to pay at their table.
Cashiers,41–2011,Special food services,722300,Productivity change – share decreases as an increasing adoption of online ordering and payment and self-checkout systems adopted requiring fewer cashiers for payment processing.
Cashiers,41–2011,Drinking places (alcoholic beverages),722400,Productivity change – share decreases as an increasing adoption of online ordering and payment and self-checkout systems adopted by drinking places will require fewer cashiers for payment processing.
Cashiers,41–2011,Full-service restaurants,722511,Productivity change – share decreases as an increasing adoption of online ordering and payment and self-checkout systems by full-service restaurants will require fewer cashiers for payment processing.
Cashiers,41–2011,Drycleaning and laundry services,812300,Demand change – share decreases as demand for dry cleaning at dry cleaning establishments falls and pick up and drop off laundry at other establishments increase.
Gambling change persons and booth cashiers,41–2012,Casino hotels,721120,Demand change – share decreases as casino hotels broaden their entertainment offerings. The share of gambling change persons and booth cashiers will decrease as less emphasis will be placed on traditional gambling and more emphasis on other activities.
Counter and rental clerks,41–2021,Drycleaning and laundry services,812300,Demand change – share decreases as demand for dry cleaning at dry cleaning establishments falls and pick up and drop off laundry at other establishments increase.
Retail salespersons,41–2031,Clothing stores,448100,"Occupational substitution – share increases as retail salespersons increasingly perform duties, such as processing payments, previously done by cashiers."
Retail salespersons,41–2031,Shoe stores,448200,"Occupational substitution – share increases as retail salespersons increasingly perform duties typical of a cashier, such as by processing transactions themselves."
Retail salespersons,41–2031,Book stores and news dealers,451200,Occupational substitution – share increases as retail salespersons increasingly take on duties typical of a cashier.
"Sales representatives of services, except advertising, insurance, financial services, and travel",41–3091,Security systems services,561620,"Demand change – share increases as companies increasingly adding new products and services, such as wireless, facial recognition, mobile surveillance services, and robotic security services, requiring additional sales workers to market and sell them to consumers."
Real estate brokers,41–9021,Real estate,531000,Demand change – share increases as the growth in population and aging millennials seek to buy and rent real estate property. 
Real estate sales agents,41–9022,Real estate,531000,Demand change – share increases as the growth in population and aging millennials seek to buy and rent real estate property. 
Telemarketers,41–9041,Total employment,TE1000,"Demand change – share decreases as the Do Not Call registry from the FCC continues to grow, and companies increasingly use alternative digital marketing methods."
Telemarketers,41–9041,Business support services,561400,"Demand change – share decreases as the Do Not Call registry from the FCC continues to grow, and companies increasingly use alternative digital marketing methods."
First-line supervisors of office and administrative support workers,43–1011,Total employment,TE1000,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Plumbing, heating, and air-conditioning contractors",238220,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Professional and commercial equipment and supplies merchant wholesalers,423400,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Merchant wholesalers, durable goods (4232,3,5,6,7,9)",4230A1,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Merchant wholesalers, nondurable goods (4244,8)",4240A1,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Wholesale electronic markets and agents and brokers,425000,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Automobile dealers,441100,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Electronic shopping and mail-order houses,454100,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Scheduled air transportation,481100,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Freight transportation arrangement,488500,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Warehousing and storage,493000,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Data processing, hosting, and related services",518000,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Other nondepository credit intermediation,522290,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Credit intermediation and related activities (5221,3)",5220A1,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Insurance agencies and brokerages,524210,"Demand change – share decreases as office and administrative support occupations decline due to an increased use of digital self-services tools, requiring fewer of these support workers and their supervisors."
First-line supervisors of office and administrative support workers,43–1011,Other insurance related activities,524290,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Legal services,541100,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Accounting, tax preparation, bookkeeping, and payroll services",541200,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Engineering services,541330,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Computer systems design and related services,541500,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Management, scientific, and technical consulting services",541600,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Advertising, public relations, and related services",541800,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Veterinary services,541940,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Management of companies and enterprises,551000,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Office administrative services,561100,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Temporary help services,561320,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Other support services,561900,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Elementary and secondary schools; local,611103,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Colleges, universities, and professional schools; private",611305,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Colleges, universities, and professional schools; state",611302,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Offices of physicians,621100,"Demand change – share decreases as office and administrative support occupations decline. "
First-line supervisors of office and administrative support workers,43–1011,Offices of dentists,621200,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Offices of physical, occupational and speech therapists, and audiologists",621340,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Home healthcare services,621600,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,General medical and surgical hospitals; private,622105,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,General medical and surgical hospitals; local,622103,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Nursing care facilities (skilled nursing facilities),623100,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Services for the elderly and persons with disabilities,624120,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,Postal service,491000,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"State government, excluding education and hospitals",999200,Demand change – share decreases as office and administrative support occupations decline.
First-line supervisors of office and administrative support workers,43–1011,"Local government, excluding education and hospitals",999300,Demand change – share decreases as office and administrative support occupations decline.
"Switchboard operators, including answering service",43–2011,Total employment,TE1000,Capital/labor substitution – share decreases as companies continue to use automated phone systems.
Telephone operators,43–2021,Total employment,TE1000,Capital/labor substitution – share decreases as companies continue to adopt automated phone systems.
Bill and account collectors,43–3011,Total employment,TE1000,"Productivity change – share decreases as automated collections software allows the same amount of collections work to be done with fewer human collectors. "
Bill and account collectors,43–3011,Other nondepository credit intermediation,522290,Productivity change – share decreases as automated collections software allows the same amount of collections work to be done with fewer human collectors.
Bill and account collectors,43–3011,"Credit intermediation and related activities (5221,3)",5220A1,Productivity change – share decreases as automated collections software allows the same amount of collections work to be done with fewer human collectors.
Bill and account collectors,43–3011,"Accounting, tax preparation, bookkeeping, and payroll services",541200,Productivity change – share decreases as automated collections software allows the same amount of collections work to be done with fewer human collectors.
